,row_names,Title,Year,imdbID,genre,actor,country,director,writer,MovieID,box_office,storyline,
1,1,The Fate of the Furious,2017,tt4630562,"Action,Crime,Thriller","Scott Eastwood,Charlize Theron,Dwayne Johnson,Vin Diesel","USA,France,Canada,UK,Samoa",F. Gary Gray,"Chris Morgan,Gary Scott Thompson (based on characters created by)",1,224507635,Now that Dom and Letty are on their honeymoon and Brian and Mia have retired from the game-and the rest of the crew has been exonerated-the globetrotting team has found a semblance of a normal life. But when a mysterious woman seduces Dom into the world of crime he can't seem to escape and a betrayal of those closest to him they will face trials that will test them as never before. From the shores of Cuba and the streets of New York City to the icy plains off the arctic Barents Sea., the elite force will crisscross the globe to stop an anarchist from unleashing chaos on the world's stage... and to bring home the man who made them a family.?
2,2,Star Wars: The Last Jedi,2017,tt2527336,"Action, Adventure, Fantasy","Tom Hardy, Daisy Ridley, Adam Driver, Mark Hamill",USA,Rian Johnson,"Rian Johnson (screenplay), George Lucas (characters)",2,,"Having taken her first steps into a larger world in Star Wars: The Force Awakens (2015), Rey continues her epic journey with Finn, Poe and Luke Skywalker in the next chapter of the saga.",
3,3,Guardians of the Galaxy Vol. 2,2017,tt3896198,"Action, Adventure, Sci-Fi","Chris Pratt, Karen Gillan, Vin Diesel, Sylvester Stallone",USA,James Gunn,"James Gunn, Dan Abnett (based on the Marvel comic book by), Andy Lanning (based on the Marvel comic book by), Stan Lee (characters), Jack Kirby (characters), Gene Colan (characters), Arnold Drake (characters), Steve Englehart (characters), Steve Gan (characters), Jim Starlin (characters)",3,369871015,"After saving Xandar from Ronan's wrath, the Guardians are now recognized as heroes. Now the team must help their leader Star Lord (Chris Pratt) uncover the truth behind his true heritage. Along the way, old foes turn to allies and betrayal is blooming. And the Guardians find that they are up against a devastating new menace who is out to rule the galaxy.",
4,4,Thor: Ragnarok,2017,tt3501632,"Action, Adventure, Fantasy","Tom Hiddleston, Benedict Cumberbatch, Idris Elba, Chris Hemsworth",USA,Taika Waititi,"Craig Kyle (story by), Christopher Yost (story by), Stephany Folsom (story by), Eric Pearson (screenplay), Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)",4,,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",
5,5,Beauty and the Beast,2017,tt2771200,"Family, Fantasy, Musical","Emma Watson, Dan Stevens, Luke Evans, Josh Gad","USA, UK",Bill Condon,"Stephen Chbosky (screenplay), Evan Spiliotopoulos (screenplay)",5,502868344,"Disney's animated classic takes on a new form, with a widened mythology and an all-star cast. A young prince, imprisoned in the form of a beast, can be freed only by true love. What may be his only opportunity arrives when he meets Belle, the only human girl to ever visit the castle since it was enchanted.",
6,6,Logan,2017,tt3315342,"Action, Drama, Sci-Fi","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","USA, Canada, Australia",James Mangold,"James Mangold (story by), Scott Frank (screenplay), James Mangold (screenplay), Michael Green (screenplay)",6,226231072,"In 2029 the mutant population has shrunken significantly and the X-Men have disbanded. Logan, whose power to self-heal is dwindling, has surrendered himself to alcohol and now earns a living as a chauffeur. He takes care of the ailing old Professor X whom he keeps hidden away. One day, a female stranger asks Logan to drive a girl named Laura to the Canadian border. At first he refuses, but the Professor has been waiting for a long time for her to appear. Laura possesses an extraordinary fighting prowess and is in many ways like Wolverine. She is pursued by sinister figures working for a powerful corporation; this is because her DNA contains the secret that connects her to Logan. A relentless pursuit begins - In this third cinematic outing featuring the Marvel comic book character Wolverine we see the superheroes beset by everyday problems. They are aging, ailing and struggling to survive financially. A decrepit Logan is forced to ask himself if he can or even wants to put his remaining powers to good use. It would appear that in the near-future, the times in which they were able put the world to rights with razor sharp claws and telepathic powers are now over.",
7,7,The Good Dinosaur,2015,tt5233496,"Animation, Adventure, Comedy, Drama, Family, Fantasy","Jeffrey Wright, Frances McDormand, Jack McGraw, Raymond Ochoa, Jack Bright",,Peter Sohn,"Bob Peterson (original concept & development by), Peter Sohn (story by)",7,123070338,"""The Good Dinosaur"" asks the question: What if the asteroid that forever changed life on Earth missed the planet completely and giant dinosaurs never became extinct? In this epic journey into the world of dinosaurs, an Apatosaurus named Arlo makes an unlikely human friend. While traveling through a harsh and mysterious landscape, Arlo learns the power of confronting his fears and discovers what he is truly capable of.",
